SLNO,Problem,Difficulty
2490,2490. Circular Sentence,Easy
2491,2491. Divide Players Into Teams of Equal Skill,Med.
2492,2492. Minimum Score of a Path Between Two Cities,Med.
2493,2493. Divide Nodes Into the Maximum Number of Groups,Hard
2494,2494. Merge Overlapping Events in the Same Hall,Hard
2495,2495. Number of Subarrays Having Even Product,Med.
2496,2496. Maximum Value of a String in an Array,Easy
2497,2497. Maximum Star Sum of a Graph,Med.
2498,2498. Frog Jump II,Med.
2499,2499. Minimum Total Cost to Make Arrays Unequal,Hard
2500,2500. Delete Greatest Value in Each Row,Easy
2501,2501. Longest Square Streak in an Array,Med.
2502,2502. Design Memory Allocator,Med.
2503,2503. Maximum Number of Points From Grid Queries,Hard
2504,2504. Concatenate the Name and the Profession,Easy
2505,2505. Bitwise OR of All Subsequence Sums,Med.
2506,2506. Count Pairs Of Similar Strings,Easy
2507,2507. Smallest Value After Replacing With Sum of Prime Factors,Med.
2508,2508. Add Edges to Make Degrees of All Nodes Even,Hard
2509,2509. Cycle Length Queries in a Tree,Hard
2510,2510. Check if There is a Path With Equal Number of 0's And 1's,Med.
2511,2511. Maximum Enemy Forts That Can Be Captured,Easy
2512,2512. Reward Top K Students,Med.
2513,2513. Minimize the Maximum of Two Arrays,Med.
2514,2514. Count Anagrams,Hard
2515,2515. Shortest Distance to Target String in a Circular Array,Easy
2516,2516. Take K of Each Character From Left and Right,Med.
2517,2517. Maximum Tastiness of Candy Basket,Med.
2518,2518. Number of Great Partitions,Hard
2519,2519. Count the Number of K-Big Indices,Hard
2520,2520. Count the Digits That Divide a Number,Easy
2521,2521. Distinct Prime Factors of Product of Array,Med.
2522,2522. Partition String Into Substrings With Values at Most K,Med.
2523,2523. Closest Prime Numbers in Range,Med.
2524,2524. Maximum Frequency Score of a Subarray,Hard
2525,2525. Categorize Box According to Criteria,Easy
2526,2526. Find Consecutive Integers from a Data Stream,Med.
2527,2527. Find Xor-Beauty of Array,Med.
2528,2528. Maximize the Minimum Powered City,Hard
2529,2529. Maximum Count of Positive Integer and Negative Integer,Easy
2530,2530. Maximal Score After Applying K Operations,Med.
2531,2531. Make Number of Distinct Characters Equal,Med.
2532,2532. Time to Cross a Bridge,Hard
2533,2533. Number of Good Binary Strings,Med.
2534,2534. Time Taken to Cross the Door,Hard
2535,2535. Difference Between Element Sum and Digit Sum of an Array,Easy
2536,2536. Increment Submatrices by One,Med.
2537,2537. Count the Number of Good Subarrays,Med.
2538,2538. Difference Between Maximum and Minimum Price Sum,Hard
2539,2539. Count the Number of Good Subsequences,Med.
2540,2540. Minimum Common Value,Easy
2541,2541. Minimum Operations to Make Array Equal II,Med.
2542,2542. Maximum Subsequence Score,Med.
2543,2543. Check if Point Is Reachable,Hard
2544,2544. Alternating Digit Sum,Easy
2545,2545. Sort the Students by Their Kth Score,Med.
2546,2546. Apply Bitwise Operations to Make Strings Equal,Med.
2547,2547. Minimum Cost to Split an Array,Hard
2548,2548. Maximum Price to Fill a Bag,Med.
2549,2549. Count Distinct Numbers on Board,Easy
2550,2550. Count Collisions of Monkeys on a Polygon,Med.
2551,2551. Put Marbles in Bags,Hard
2552,2552. Count Increasing Quadruplets,Hard
2553,2553. Separate the Digits in an Array,Easy
2554,2554. Maximum Number of Integers to Choose From a Range I,Med.
2555,2555. Maximize Win From Two Segments,Med.
2556,2556. Disconnect Path in a Binary Matrix by at Most One Flip,Med.
2557,2557. Maximum Number of Integers to Choose From a Range II,Med.
2558,2558. Take Gifts From the Richest Pile,Easy
2559,2559. Count Vowel Strings in Ranges,Med.
2560,2560. House Robber IV,Med.
2561,2561. Rearranging Fruits,Hard
2562,2562. Find the Array Concatenation Value,Easy
2563,2563. Count the Number of Fair Pairs,Med.
2564,2564. Substring XOR Queries,Med.
2565,2565. Subsequence With the Minimum Score,Hard
2566,2566. Maximum Difference by Remapping a Digit,Easy
2567,2567. Minimum Score by Changing Two Elements,Med.
2568,2568. Minimum Impossible OR,Med.
2569,2569. Handling Sum Queries After Update,Hard
2570,2570. Merge Two 2D Arrays by Summing Values,Easy
2571,2571. Minimum Operations to Reduce an Integer to 0,Med.
2572,2572. Count the Number of Square-Free Subsets,Med.
2573,2573. Find the String with LCP,Hard
2574,2574. Left and Right Sum Differences,Easy
2575,2575. Find the Divisibility Array of a String,Med.
2576,2576. Find the Maximum Number of Marked Indices,Med.
2577,2577. Minimum Time to Visit a Cell In a Grid,Hard
2578,2578. Split With Minimum Sum,Easy
2579,2579. Count Total Number of Colored Cells,Med.
2580,2580. Count Ways to Group Overlapping Ranges,Med.
2581,2581. Count Number of Possible Root Nodes,Hard
2582,2582. Pass the Pillow,Easy
2583,2583. Kth Largest Sum in a Binary Tree,Med.
2584,2584. Split the Array to Make Coprime Products,Hard
2585,2585. Number of Ways to Earn Points,Hard
2586,2586. Count the Number of Vowel Strings in Range,Easy
2587,2587. Rearrange Array to Maximize Prefix Score,Med.
2588,2588. Count the Number of Beautiful Subarrays,Med.
2589,2589. Minimum Time to Complete All Tasks,Hard
2590,2590. Design a Todo List,Med.
2591,2591. Distribute Money to Maximum Children,Easy
2592,2592. Maximize Greatness of an Array,Med.
2593,2593. Find Score of an Array After Marking All Elements,Med.
2594,2594. Minimum Time to Repair Cars,Med.
2595,2595. Number of Even and Odd Bits,Easy
2596,2596. Check Knight Tour Configuration,Med.
2597,2597. The Number of Beautiful Subsets,Med.
2598,2598. Smallest Missing Non-negative Integer After Operations,Med.
2599,2599. Make the Prefix Sum Non-negative,Med.
2600,2600. K Items With the Maximum Sum,Easy
2601,2601. Prime Subtraction Operation,Med.
2602,2602. Minimum Operations to Make All Array Elements Equal,Med.
2603,2603. Collect Coins in a Tree,Hard
2604,2604. Minimum Time to Eat All Grains,Hard
2605,2605. Form Smallest Number From Two Digit Arrays,Easy
2606,2606. Find the Substring With Maximum Cost,Med.
2607,2607. Make K-Subarray Sums Equal,Med.
2608,2608. Shortest Cycle in a Graph,Hard
2609,2609. Find the Longest Balanced Substring of a Binary String,Easy
2610,2610. Convert an Array Into a 2D Array With Conditions,Med.
2611,2611. Mice and Cheese,Med.
2612,2612. Minimum Reverse Operations,Hard
2613,2613. Beautiful Pairs,Hard
2614,2614. Prime In Diagonal,Easy
2615,2615. Sum of Distances,Med.
2616,2616. Minimize the Maximum Difference of Pairs,Med.
2617,2617. Minimum Number of Visited Cells in a Grid,Hard
2618,2618. Check if Object Instance of Class,Med.
2619,2619. Array Prototype Last,Easy
2620,2620. Counter,Easy
2621,2621. Sleep,Easy
2622,2622. Cache With Time Limit,Med.
2623,2623. Memoize,Med.
2624,2624. Snail Traversal,Med.
2625,2625. Flatten Deeply Nested Array,Med.
2626,2626. Array Reduce Transformation,Easy
2627,2627. Debounce,Med.
2628,2628. JSON Deep Equal,Med.
2629,2629. Function Composition,Easy
2630,2630. Memoize II,Hard
2631,2631. Group By,Med.
2632,2632. Curry,Med.
2633,2633. Convert Object to JSON String,Med.
2634,2634. Filter Elements from Array,Easy
2635,2635. Apply Transform Over Each Element in Array,Easy
2636,2636. Promise Pool,Med.
2637,2637. Promise Time Limit,Med.
2638,2638. Count the Number of K-Free Subsets,Med.
2639,2639. Find the Width of Columns of a Grid,Easy
2640,2640. Find the Score of All Prefixes of an Array,Med.
2641,2641. Cousins in Binary Tree II,Med.
2642,2642. Design Graph With Shortest Path Calculator,Hard
2643,2643. Row With Maximum Ones,Easy
2644,2644. Find the Maximum Divisibility Score,Easy
2645,2645. Minimum Additions to Make Valid String,Med.
2646,2646. Minimize the Total Price of the Trips,Hard
2647,2647. Color the Triangle Red,Hard
2648,2648. Generate Fibonacci Sequence,Easy
2649,2649. Nested Array Generator,Med.
2650,2650. Design Cancellable Function,Hard
2651,2651. Calculate Delayed Arrival Time,Easy
2652,2652. Sum Multiples,Easy
2653,2653. Sliding Subarray Beauty,Med.
2654,2654. Minimum Number of Operations to Make All Array Elements Equal to 1,Med.
2655,2655. Find Maximal Uncovered Ranges,Med.
2656,2656. Maximum Sum With Exactly K Elements,Easy
2657,2657. Find the Prefix Common Array of Two Arrays,Med.
2658,2658. Maximum Number of Fish in a Grid,Med.
2659,2659. Make Array Empty,Hard
2660,2660. Determine the Winner of a Bowling Game,Easy
2661,2661. First Completely Painted Row or Column,Med.
2662,2662. Minimum Cost of a Path With Special Roads,Med.
2663,2663. Lexicographically Smallest Beautiful String,Hard
2664,2664. The Knight’s Tour,Med.
2665,2665. Counter II,Easy
2666,2666. Allow One Function Call,Easy
2667,2667. Create Hello World Function,Easy
2668,2668. Find Latest Salaries,Easy
2669,2669. Count Artist Occurrences On Spotify Ranking List,Easy
2670,2670. Find the Distinct Difference Array,Easy
2671,2671. Frequency Tracker,Med.
2672,2672. Number of Adjacent Elements With the Same Color,Med.
2673,2673. Make Costs of Paths Equal in a Binary Tree,Med.
2674,2674. Split a Circular Linked List,Med.
2675,2675. Array of Objects to Matrix,Hard
2676,2676. Throttle,Med.
2677,2677. Chunk Array,Easy
2678,2678. Number of Senior Citizens,Easy
2679,2679. Sum in a Matrix,Med.
2680,2680. Maximum OR,Med.
2681,2681. Power of Heroes,Hard
2682,2682. Find the Losers of the Circular Game,Easy
2683,2683. Neighboring Bitwise XOR,Med.
2684,2684. Maximum Number of Moves in a Grid,Med.
2685,2685. Count the Number of Complete Components,Med.
2686,2686. Immediate Food Delivery III,Med.
2687,2687. Bikes Last Time Used,Easy
2688,2688. Find Active Users,Med.
2689,2689. Extract Kth Character From The Rope Tree,Easy
2690,2690. Infinite Method Object,Easy
2691,2691. Immutability Helper,Hard
2692,2692. Make Object Immutable,Med.
2693,2693. Call Function with Custom Context,Med.
2694,2694. Event Emitter,Med.
2695,2695. Array Wrapper,Easy
2696,2696. Minimum String Length After Removing Substrings,Easy
2697,2697. Lexicographically Smallest Palindrome,Easy
2698,2698. Find the Punishment Number of an Integer,Med.
2699,2699. Modify Graph Edge Weights,Hard
2700,2700. Differences Between Two Objects,Med.
2701,2701. Consecutive Transactions with Increasing Amounts,Hard
2702,2702. Minimum Operations to Make Numbers Non-positive,Hard
2703,2703. Return Length of Arguments Passed,Easy
2704,2704. To Be Or Not To Be,Easy
2705,2705. Compact Object,Med.
2706,2706. Buy Two Chocolates,Easy
2707,2707. Extra Characters in a String,Med.
2708,2708. Maximum Strength of a Group,Med.
2709,2709. Greatest Common Divisor Traversal,Hard
2710,2710. Remove Trailing Zeros From a String,Easy
2711,2711. Difference of Number of Distinct Values on Diagonals,Med.
2712,2712. Minimum Cost to Make All Characters Equal,Med.
2713,2713. Maximum Strictly Increasing Cells in a Matrix,Hard
2714,2714. Find Shortest Path with K Hops,Hard
2715,2715. Timeout Cancellation,Easy
2716,2716. Minimize String Length,Easy
2717,2717. Semi-Ordered Permutation,Easy
2718,2718. Sum of Matrix After Queries,Med.
2719,2719. Count of Integers,Hard
2720,2720. Popularity Percentage,Hard
2721,2721. Execute Asynchronous Functions in Parallel,Med.
2722,2722. Join Two Arrays by ID,Med.
2723,2723. Add Two Promises,Easy
2724,2724. Sort By,Easy
2725,2725. Interval Cancellation,Easy
2726,2726. Calculator with Method Chaining,Easy
2727,2727. Is Object Empty,Easy
2728,2728. Count Houses in a Circular Street,Easy
2729,2729. Check if The Number is Fascinating,Easy
2730,2730. Find the Longest Semi-Repetitive Substring,Med.
2731,2731. Movement of Robots,Med.
2732,2732. Find a Good Subset of the Matrix,Hard
2733,2733. Neither Minimum nor Maximum,Easy
2734,2734. Lexicographically Smallest String After Substring Operation,Med.
2735,2735. Collecting Chocolates,Med.
2736,2736. Maximum Sum Queries,Hard
2737,2737. Find the Closest Marked Node,Med.
2738,2738. Count Occurrences in Text,Med.
2739,2739. Total Distance Traveled,Easy
2740,2740. Find the Value of the Partition,Med.
2741,2741. Special Permutations,Med.
2742,2742. Painting the Walls,Hard
2743,2743. Count Substrings Without Repeating Character,Med.
2744,2744. Find Maximum Number of String Pairs,Easy
2745,2745. Construct the Longest New String,Med.
2746,2746. Decremental String Concatenation,Med.
2747,2747. Count Zero Request Servers,Med.
2748,2748. Number of Beautiful Pairs,Easy
2749,2749. Minimum Operations to Make the Integer Zero,Med.
2750,2750. Ways to Split Array Into Good Subarrays,Med.
2751,2751. Robot Collisions,Hard
2752,2752. Customers with Maximum Number of Transactions on Consecutive Days,Hard
2753,2753. Count Houses in a Circular Street II,Hard
2754,2754. Bind Function to Context,Med.
2755,2755. Deep Merge of Two Objects,Med.
2756,2756. Query Batching,Hard
2757,2757. Generate Circular Array Values,Med.
2758,2758. Next Day,Easy
2759,2759. Convert JSON String to Object,Hard
2760,2760. Longest Even Odd Subarray With Threshold,Easy
2761,2761. Prime Pairs With Target Sum,Med.
2762,2762. Continuous Subarrays,Med.
2763,2763. Sum of Imbalance Numbers of All Subarrays,Hard
2764,2764. Is Array a Preorder of Some ‌Binary Tree,Med.
2765,2765. Longest Alternating Subarray,Easy
2766,2766. Relocate Marbles,Med.
2767,2767. Partition String Into Minimum Beautiful Substrings,Med.
2768,2768. Number of Black Blocks,Med.
2769,2769. Find the Maximum Achievable Number,Easy
2770,2770. Maximum Number of Jumps to Reach the Last Index,Med.
2771,2771. Longest Non-decreasing Subarray From Two Arrays,Med.
2772,2772. Apply Operations to Make All Array Elements Equal to Zero,Med.
2773,2773. Height of Special Binary Tree,Med.
2774,2774. Array Upper Bound,Easy
2775,2775. Undefined to Null,Med.
2776,2776. Convert Callback Based Function to Promise Based Function,Med.
2777,2777. Date Range Generator,Med.
2778,2778. Sum of Squares of Special Elements,Easy
2779,2779. Maximum Beauty of an Array After Applying Operation,Med.
2780,2780. Minimum Index of a Valid Split,Med.
2781,2781. Length of the Longest Valid Substring,Hard
2782,2782. Number of Unique Categories,Med.
2783,2783. Flight Occupancy and Waitlist Analysis,Med.
2784,2784. Check if Array is Good,Easy
2785,2785. Sort Vowels in a String,Med.
2786,2786. Visit Array Positions to Maximize Score,Med.
2787,2787. Ways to Express an Integer as Sum of Powers,Med.
2788,2788. Split Strings by Separator,Easy
2789,2789. Largest Element in an Array after Merge Operations,Med.
2790,2790. Maximum Number of Groups With Increasing Length,Hard
2791,2791. Count Paths That Can Form a Palindrome in a Tree,Hard
2792,2792. Count Nodes That Are Great Enough,Hard
2793,2793. Status of Flight Tickets,Hard
2794,2794. Create Object from Two Arrays,Easy
2795,2795. Parallel Execution of Promises for Individual Results Retrieval,Med.
2796,2796. Repeat String,Easy
2797,2797. Partial Function with Placeholders,Easy
2798,2798. Number of Employees Who Met the Target,Easy
2799,2799. Count Complete Subarrays in an Array,Med.
2800,2800. Shortest String That Contains Three Strings,Med.
2801,2801. Count Stepping Numbers in Range,Hard
2802,2802. Find The K-th Lucky Number,Med.
2803,2803. Factorial Generator,Easy
2804,2804. Array Prototype ForEach,Easy
2805,2805. Custom Interval,Med.
2806,2806. Account Balance After Rounded Purchase,Easy
2807,2807. Insert Greatest Common Divisors in Linked List,Med.
2808,2808. Minimum Seconds to Equalize a Circular Array,Med.
2809,2809. Minimum Time to Make Array Sum At Most x,Hard
2810,2810. Faulty Keyboard,Easy
2811,2811. Check if it is Possible to Split Array,Med.
2812,2812. Find the Safest Path in a Grid,Med.
2813,2813. Maximum Elegance of a K-Length Subsequence,Hard
2814,2814. Minimum Time Takes to Reach Destination Without Drowning,Hard
2815,2815. Max Pair Sum in an Array,Easy
2816,2816. Double a Number Represented as a Linked List,Med.
2817,2817. Minimum Absolute Difference Between Elements With Constraint,Med.
2818,2818. Apply Operations to Maximize Score,Hard
2819,2819. Minimum Relative Loss After Buying Chocolates,Hard
2820,2820. Election Results,Med.
2821,2821. Delay the Resolution of Each Promise,Med.
2822,2822. Inversion of Object,Easy
2823,2823. Deep Object Filter,Med.
2824,2824. Count Pairs Whose Sum is Less than Target,Easy
2825,2825. Make String a Subsequence Using Cyclic Increments,Med.
2826,2826. Sorting Three Groups,Med.
2827,2827. Number of Beautiful Integers in the Range,Hard
2828,2828. Check if a String Is an Acronym of Words,Easy
2829,2829. Determine the Minimum Sum of a k-avoiding Array,Med.
2830,2830. Maximize the Profit as the Salesman,Med.
2831,2831. Find the Longest Equal Subarray,Med.
2832,2832. Maximal Range That Each Element Is Maximum in It,Med.
2833,2833. Furthest Point From Origin,Easy
2834,2834. Find the Minimum Possible Sum of a Beautiful Array,Med.
2835,2835. Minimum Operations to Form Subsequence With Target Sum,Hard
2836,2836. Maximize Value of Function in a Ball Passing Game,Hard
2837,2837. Total Traveled Distance,Easy
2838,2838. Maximum Coins Heroes Can Collect,Med.
2839,2839. Check if Strings Can be Made Equal With Operations I,Easy
2840,2840. Check if Strings Can be Made Equal With Operations II,Med.
2841,2841. Maximum Sum of Almost Unique Subarray,Med.
2842,2842. Count K-Subsequences of a String With Maximum Beauty,Hard
2843,2843. Count Symmetric Integers,Easy
2844,2844. Minimum Operations to Make a Special Number,Med.
2845,2845. Count of Interesting Subarrays,Med.
2846,2846. Minimum Edge Weight Equilibrium Queries in a Tree,Hard
2847,2847. Smallest Number With Given Digit Product,Med.
2848,2848. Points That Intersect With Cars,Easy
2849,2849. Determine if a Cell Is Reachable at a Given Time,Med.
2850,2850. Minimum Moves to Spread Stones Over Grid,Med.
2851,2851. String Transformation,Hard
2852,2852. Sum of Remoteness of All Cells,Med.
2853,2853. Highest Salaries Difference,Easy
2854,2854. Rolling Average Steps,Med.
2855,2855. Minimum Right Shifts to Sort the Array,Easy
2856,2856. Minimum Array Length After Pair Removals,Med.
2857,2857. Count Pairs of Points With Distance k,Med.
2858,2858. Minimum Edge Reversals So Every Node Is Reachable,Hard
2859,2859. Sum of Values at Indices With K Set Bits,Easy
2860,2860. Happy Students,Med.
2861,2861. Maximum Number of Alloys,Med.
2862,2862. Maximum Element-Sum of a Complete Subset of Indices,Hard
2863,2863. Maximum Length of Semi-Decreasing Subarrays,Med.
2864,2864. Maximum Odd Binary Number,Easy
2865,2865. Beautiful Towers I,Med.
2866,2866. Beautiful Towers II,Med.
2867,2867. Count Valid Paths in a Tree,Hard
2868,2868. The Wording Game,Hard
2869,2869. Minimum Operations to Collect Elements,Easy
2870,2870. Minimum Number of Operations to Make Array Empty,Med.
2871,2871. Split Array Into Maximum Number of Subarrays,Med.
2872,2872. Maximum Number of K-Divisible Components,Hard
2873,2873. Maximum Value of an Ordered Triplet I,Easy
2874,2874. Maximum Value of an Ordered Triplet II,Med.
2875,2875. Minimum Size Subarray in Infinite Array,Med.
2876,2876. Count Visited Nodes in a Directed Graph,Hard
2877,2877. Create a DataFrame from List,Easy
2878,2878. Get the Size of a DataFrame,Easy
2879,2879. Display the First Three Rows,Easy
2880,2880. Select Data,Easy
2881,2881. Create a New Column,Easy
2882,2882. Drop Duplicate Rows,Easy
2883,2883. Drop Missing Data,Easy
2884,2884. Modify Columns,Easy
2885,2885. Rename Columns,Easy
2886,2886. Change Data Type,Easy
2887,2887. Fill Missing Data,Easy
2888,2888. Reshape Data: Concatenate,Easy
2889,2889. Reshape Data: Pivot,Easy
2890,2890. Reshape Data: Melt,Easy
2891,2891. Method Chaining,Easy
2892,2892. Minimizing Array After Replacing Pairs With Their Product,Med.
2893,2893. Calculate Orders Within Each Interval,Med.
2894,2894. Divisible and Non-divisible Sums Difference,Easy
2895,2895. Minimum Processing Time,Med.
2896,2896. Apply Operations to Make Two Strings Equal,Med.
2897,2897. Apply Operations on Array to Maximize Sum of Squares,Hard
2898,2898. Maximum Linear Stock Score,Med.
2899,2899. Last Visited Integers,Easy
2900,2900. Longest Unequal Adjacent Groups Subsequence I,Easy
2901,2901. Longest Unequal Adjacent Groups Subsequence II,Med.
2902,2902. Count of Sub-Multisets With Bounded Sum,Hard
2903,2903. Find Indices With Index and Value Difference I,Easy
2904,2904. Shortest and Lexicographically Smallest Beautiful String,Med.
2905,2905. Find Indices With Index and Value Difference II,Med.
2906,2906. Construct Product Matrix,Med.
2907,2907. Maximum Profitable Triplets With Increasing Prices I,Med.
2908,2908. Minimum Sum of Mountain Triplets I,Easy
2909,2909. Minimum Sum of Mountain Triplets II,Med.
2910,2910. Minimum Number of Groups to Create a Valid Assignment,Med.
2911,2911. Minimum Changes to Make K Semi-palindromes,Hard
2912,2912. Number of Ways to Reach Destination in the Grid,Hard
2913,2913. Subarrays Distinct Element Sum of Squares I,Easy
2914,2914. Minimum Number of Changes to Make Binary String Beautiful,Med.
2915,2915. Length of the Longest Subsequence That Sums to Target,Med.
2916,2916. Subarrays Distinct Element Sum of Squares II,Hard
2917,2917. Find the K-or of an Array,Easy
2918,2918. Minimum Equal Sum of Two Arrays After Replacing Zeros,Med.
2919,2919. Minimum Increment Operations to Make Array Beautiful,Med.
2920,2920. Maximum Points After Collecting Coins From All Nodes,Hard
2921,2921. Maximum Profitable Triplets With Increasing Prices II,Hard
2922,2922. Market Analysis III,Med.
2923,2923. Find Champion I,Easy
2924,2924. Find Champion II,Med.
2925,2925. Maximum Score After Applying Operations on a Tree,Med.
2926,2926. Maximum Balanced Subsequence Sum,Hard
2927,2927. Distribute Candies Among Children III,Hard
2928,2928. Distribute Candies Among Children I,Easy
2929,2929. Distribute Candies Among Children II,Med.
2930,2930. Number of Strings Which Can Be Rearranged to Contain Substring,Med.
2931,2931. Maximum Spending After Buying Items,Hard
2932,2932. Maximum Strong Pair XOR I,Easy
2933,2933. High-Access Employees,Med.
2934,2934. Minimum Operations to Maximize Last Elements in Arrays,Med.
2935,2935. Maximum Strong Pair XOR II,Hard
2936,2936. Number of Equal Numbers Blocks,Med.
2937,2937. Make Three Strings Equal,Easy
2938,2938. Separate Black and White Balls,Med.
2939,2939. Maximum Xor Product,Med.
2940,2940. Find Building Where Alice and Bob Can Meet,Hard
2941,2941. Maximum GCD-Sum of a Subarray,Hard
2942,2942. Find Words Containing Character,Easy
2943,2943. Maximize Area of Square Hole in Grid,Med.
2944,2944. Minimum Number of Coins for Fruits,Med.
2945,2945. Find Maximum Non-decreasing Array Length,Hard
2946,2946. Matrix Similarity After Cyclic Shifts,Easy
2947,2947. Count Beautiful Substrings I,Med.
2948,2948. Make Lexicographically Smallest Array by Swapping Elements,Med.
2949,2949. Count Beautiful Substrings II,Hard
2950,2950. Number of Divisible Substrings,Med.
2951,2951. Find the Peaks,Easy
2952,2952. Minimum Number of Coins to be Added,Med.
2953,2953. Count Complete Substrings,Hard
2954,2954. Count the Number of Infection Sequences,Hard
2955,2955. Number of Same-End Substrings,Med.
2956,2956. Find Common Elements Between Two Arrays,Easy
2957,2957. Remove Adjacent Almost-Equal Characters,Med.
2958,2958. Length of Longest Subarray With at Most K Frequency,Med.
2959,2959. Number of Possible Sets of Closing Branches,Hard
2960,2960. Count Tested Devices After Test Operations,Easy
2961,2961. Double Modular Exponentiation,Med.
2962,2962. Count Subarrays Where Max Element Appears at Least K Times,Med.
2963,2963. Count the Number of Good Partitions,Hard
2964,2964. Number of Divisible Triplet Sums,Med.
2965,2965. Find Missing and Repeated Values,Easy
2966,2966. Divide Array Into Arrays With Max Difference,Med.
2967,2967. Minimum Cost to Make Array Equalindromic,Med.
2968,2968. Apply Operations to Maximize Frequency Score,Hard
2969,2969. Minimum Number of Coins for Fruits II,Hard
2970,2970. Count the Number of Incremovable Subarrays I,Easy
2971,2971. Find Polygon With the Largest Perimeter,Med.
2972,2972. Count the Number of Incremovable Subarrays II,Hard
2973,2973. Find Number of Coins to Place in Tree Nodes,Hard
2974,2974. Minimum Number Game,Easy
2975,2975. Maximum Square Area by Removing Fences From a Field,Med.
2976,2976. Minimum Cost to Convert String I,Med.
2977,2977. Minimum Cost to Convert String II,Hard
2978,2978. Symmetric Coordinates,Med.
2979,2979. Most Expensive Item That Can Not Be Bought,Med.
2980,2980. Check if Bitwise OR Has Trailing Zeros,Easy
2981,2981. Find Longest Special Substring That Occurs Thrice I,Med.
2982,2982. Find Longest Special Substring That Occurs Thrice II,Med.
2983,2983. Palindrome Rearrangement Queries,Hard
2984,2984. Find Peak Calling Hours for Each City,Med.
2985,2985. Calculate Compressed Mean,Easy
2986,2986. Find Third Transaction,Med.
2987,2987. Find Expensive Cities,Easy
2988,2988. Manager of the Largest Department,Med.
2989,2989. Class Performance,Med.
2990,2990. Loan Types,Easy
2991,2991. Top Three Wineries,Hard
2992,2992. Number of Self-Divisible Permutations,Med.
2993,2993. Friday Purchases I,Med.
2994,2994. Friday Purchases II,Hard
2995,2995. Viewers Turned Streamers,Hard
2996,2996. Smallest Missing Integer Greater Than Sequential Prefix Sum,Easy
2997,2997. Minimum Number of Operations to Make Array XOR Equal to K,Med.
2998,2998. Minimum Number of Operations to Make X and Y Equal,Med.
2999,2999. Count the Number of Powerful Integers,Hard
3000,3000. Maximum Area of Longest Diagonal Rectangle,Easy
3001,3001. Minimum Moves to Capture The Queen,Med.
3002,3002. Maximum Size of a Set After Removals,Med.
3003,3003. Maximize the Number of Partitions After Operations,Hard
3004,3004. Maximum Subtree of the Same Color,Med.
3005,3005. Count Elements With Maximum Frequency,Easy
3006,3006. Find Beautiful Indices in the Given Array I,Med.
3007,3007. Maximum Number That Sum of the Prices Is Less Than or Equal to K,Med.
3008,3008. Find Beautiful Indices in the Given Array II,Hard
3009,3009. Maximum Number of Intersections on the Chart,Hard
3010,3010. Divide an Array Into Subarrays With Minimum Cost I,Easy
3011,3011. Find if Array Can Be Sorted,Med.
3012,3012. Minimize Length of Array Using Operations,Med.
3013,3013. Divide an Array Into Subarrays With Minimum Cost II,Hard
3014,3014. Minimum Number of Pushes to Type Word I,Easy
3015,3015. Count the Number of Houses at a Certain Distance I,Med.
3016,3016. Minimum Number of Pushes to Type Word II,Med.
3017,3017. Count the Number of Houses at a Certain Distance II,Hard
3018,3018. Maximum Number of Removal Queries That Can Be Processed I,Hard
3019,3019. Number of Changing Keys,Easy
3020,3020. Find the Maximum Number of Elements in Subset,Med.
3021,3021. Alice and Bob Playing Flower Game,Med.
3022,3022. Minimize OR of Remaining Elements Using Operations,Hard
3023,3023. Find Pattern in Infinite Stream I,Med.
3024,3024. Type of Triangle,Easy
3025,3025. Find the Number of Ways to Place People I,Med.
3026,3026. Maximum Good Subarray Sum,Med.
3027,3027. Find the Number of Ways to Place People II,Hard
3028,3028. Ant on the Boundary,Easy
3029,3029. Minimum Time to Revert Word to Initial State I,Med.
3030,3030. Find the Grid of Region Average,Med.
3031,3031. Minimum Time to Revert Word to Initial State II,Hard
3032,3032. Count Numbers With Unique Digits II,Easy
3033,3033. Modify the Matrix,Easy
3034,3034. Number of Subarrays That Match a Pattern I,Med.
3035,3035. Maximum Palindromes After Operations,Med.
3036,3036. Number of Subarrays That Match a Pattern II,Hard
3037,3037. Find Pattern in Infinite Stream II,Hard
3038,3038. Maximum Number of Operations With the Same Score I,Easy
3039,3039. Apply Operations to Make String Empty,Med.
3040,3040. Maximum Number of Operations With the Same Score II,Med.
3041,3041. Maximize Consecutive Elements in an Array After Modification,Hard
3042,3042. Count Prefix and Suffix Pairs I,Easy
3043,3043. Find the Length of the Longest Common Prefix,Med.
3044,3044. Most Frequent Prime,Med.
3045,3045. Count Prefix and Suffix Pairs II,Hard
3046,3046. Split the Array,Easy
3047,3047. Find the Largest Area of Square Inside Two Rectangles,Med.
3048,3048. Earliest Second to Mark Indices I,Med.
3049,3049. Earliest Second to Mark Indices II,Hard
3050,3050. Pizza Toppings Cost Analysis,Med.
3051,3051. Find Candidates for Data Scientist Position,Easy
3052,3052. Maximize Items,Hard
3053,3053. Classifying Triangles by Lengths,Easy
3054,3054. Binary Tree Nodes,Med.
3055,3055. Top Percentile Fraud,Med.
3056,3056. Snaps Analysis,Med.
3057,3057. Employees Project Allocation,Hard
3058,3058. Friends With No Mutual Friends,Med.
3059,3059. Find All Unique Email Domains,Easy
3060,3060. User Activities within Time Bounds,Hard
3061,3061. Calculate Trapping Rain Water,Hard
3062,3062. Winner of the Linked List Game,Easy
